Book,Average Sentiment
1 Chronicles,0.06484108280254777
1 Corinthians,0.1202254004576659
1 John,0.17546666666666666
1 Kings,0.03589901960784314
1 Peter,0.2788561904761905
1 Samuel,0.03545123456790124
1 Thessalonians,0.2695426966292135
1 Timothy,0.26406814159292036
2 Chronicles,0.11061836982968369
2 Corinthians,0.2652396887159533
2 John,0.35930769230769233
2 Kings,0.0022841446453407536
2 Peter,0.1694983606557377
2 Samuel,0.003819712230215829
2 Thessalonians,0.2171468085106383
2 Timothy,0.2254156626506024
3 John,0.5036571428571428
Acts,0.06933406156901688
Amos,-0.0646945205479452
Colossians,0.2927073684210526
Daniel,0.22988291316526613
Deuteronomy,0.06646538060479666
Ecclesiastes,0.03088648648648649
Ephesians,0.25910451612903224
Esther,0.07942634730538922
Exodus,0.049276422093981864
Ezekiel,0.04871681068342498
Ezra,0.1486632142857143
Galatians,0.1510006711409396
Genesis,0.09511793868232224
Habakkuk,-0.17394285714285715
Haggai,0.10426052631578947
Hebrews,0.17451782178217823
Hosea,-0.0285989847715736
Isaiah,0.01573893188854489
James,0.1565787037037037
Jeremiah,-0.07569215542521994
Job,-0.00316607476635514
Joel,0.03098767123287671
John,0.033967235494880545
Jonah,-0.02396458333333333
Joshua,0.0443758358662614
Jude,0.163424
Judges,0.0018766990291262167
Lamentations,-0.1425974025974026
Leviticus,-0.051914318975552966
Luke,0.05815699391833188
Malachi,-0.001549090909090907
Mark,-0.006631563421828907
Matthew,0.03438674136321195
Micah,-0.04070190476190476
Nahum,-0.11130851063829789
Nehemiah,0.08072783251231527
Numbers,-0.0472917701863354
Obadiah,-0.1469952380952381
Philemon,0.305892
Philippians,0.2774
Proverbs,-0.002561530054644808
Psalms,0.1268207232832182
Revelation,0.18597648514851486
Romans,0.157635103926097
Ruth,0.08829764705882354
Song of Solomon,0.33303418803418805
Titus,0.2743521739130435
Zechariah,0.030487203791469193
Zephaniah,-0.10114339622641509
